zipcode,unemployment rate,median household income,white,black,hispanic,asian,poverty rate,total population,white rate,black rate,hispanic rate,asian rate,average family size
62049,2.1,50445,7184,1527,265,7,13.3,9236,77.78258987,16.53313123,2.869207449,0.075790385,3.08
62050,3.5,34485,434,0,6,0,26.8,440,98.63636364,0,1.363636364,0,2.9
62051,1.9,46786,787,1,4,0,22.2,792,99.36868687,0.126262626,0.505050505,0,2.98
62052,3.5,51779,11937,27,202,40,9.7,12464,95.77182285,0.216623877,1.620667522,0.320924262,2.49
62053,6.7,38375,618,0,8,0,32.9,633,97.63033175,0,1.263823065,0,2.96
62054,7.7,52917,731,1,16,0,11.5,821,89.03775883,0.12180268,1.948842875,0,3.1
62056,2.6,47392,8377,117,140,10,16.7,8671,96.60938761,1.349325337,1.614577327,0.115326952,3.13
62058,5.8,43750,749,0,7,2,12.5,768,97.52604167,0,0.911458333,0.260416667,2.7
62059,5,16131,0,580,0,0,48.8,580,0,100,0,0,2.71
62060,7.9,24626,1542,2934,44,58,35.3,4699,32.81549266,62.43881677,0.93636944,1.234305171,2.75
62061,4,70437,1684,0,54,16,8.1,1761,95.62748438,0,3.066439523,0.908574673,3.2
62062,5,83772,7109,319,233,148,7.6,8095,87.81964175,3.940704138,2.878319951,1.828289067,2.94
62063,6.3,58929,1143,0,0,0,14,1154,99.04679376,0,0,0,2.95
62065,0,0,158,0,0,0,0,158,100,0,0,0,2.67
62067,2.4,61433,2415,0,0,32,8.4,2468,97.85251216,0,0,1.296596434,4.79
62069,2.8,56302,3046,2,25,3,8.6,3085,98.73581848,0.064829822,0.810372771,0.097244733,2.75
62070,0,0,19,0,0,0,57.8,45,42.22222222,0,0,0,2.87
62074,1.6,81000,1275,16,4,0,2.6,1298,98.22804314,1.232665639,0.30816641,0,1.9
62075,2,53333,3405,42,25,0,17.6,3509,97.03619265,1.1969222,0.712453691,0,3.06
62076,0,45000,117,0,0,0,6,117,100,0,0,0,2.97
62077,4.5,41250,267,0,4,0,19.3,274,97.44525547,0,1.459854015,0,2.9
62078,5.4,42500,74,0,0,0,16.2,74,100,0,0,0,2.78
62079,6.8,0,226,0,0,0,55.3,226,100,0,0,0,3
62080,5.3,38700,2632,18,0,0,20.2,2690,97.84386617,0.669144981,0,0,2.76
62081,1.1,45250,385,0,1,0,13,386,99.74093264,0,0.259067358,0,3.14
62082,2,37692,2602,129,30,4,22.5,2825,92.10619469,4.566371681,1.061946903,0.14159292,3.19
62083,0,56250,240,0,0,61,0,301,79.73421927,0,0,20.26578073,3.26
62084,1.8,45341,1566,0,34,0,17,1632,95.95588235,0,2.083333333,0,3.15
62085,4.7,33250,183,0,3,1,32.3,193,94.81865285,0,1.554404145,0.518134715,3
62086,3.6,45625,1366,0,54,11,13.5,1446,94.46749654,0,3.734439834,0.760719225,3.17
62087,7.2,41250,2009,128,87,0,32.3,2232,90.00896057,5.734767025,3.897849462,0,3.09
62088,3.9,44978,6511,1,86,7,10.9,6661,97.74808587,0.015012761,1.291097433,0.105089326,3.33
62089,1.6,42955,379,0,0,0,16.4,379,100,0,0,0,2.86
62090,12.9,22325,38,1138,7,14,29.4,1216,3.125,93.58552632,0.575657895,1.151315789,2.45
62091,0,81250,276,0,0,0,6.2,276,100,0,0,0,3.06
62092,4.2,39196,2889,15,17,0,26.7,2955,97.76649746,0.507614213,0.575296108,0,2.99
62093,7.7,27188,443,3,17,0,32.2,473,93.65750529,0.634249471,3.594080338,0,3.13
62094,6.8,47404,1004,46,0,0,22.1,1050,95.61904762,4.380952381,0,0,2.68
62095,4.2,43704,10007,170,177,74,18,10553,94.8261158,1.610916327,1.677248176,0.701222401,2.91
62097,3.9,78936,2796,8,55,11,9.1,2979,93.85699899,0.268546492,1.846257133,0.369251427,2.95
62098,0,26250,39,0,0,0,0,39,100,0,0,0,2.97
62201,5.2,15089,581,4921,2115,58,52.7,7862,7.389977105,62.59221572,26.90155177,0.73772577,2
62203,9.2,31909,349,6991,58,33,24.5,7464,4.675777063,93.66291533,0.777063237,0.442122186,4
62204,8.5,17180,105,8149,47,9,52.6,8416,1.247623574,96.82747148,0.558460076,0.106939163,3.47
62205,7.5,23536,145,8161,259,0,37.5,8547,1.696501697,95.48379548,3.03030303,0,3.58
62206,7.2,29947,5648,8921,125,242,31.8,15233,37.07739775,58.56364472,0.820586884,1.588656207,3.52
62207,9.8,17139,244,8157,64,2,45.6,8473,2.879735631,96.27050631,0.755340493,0.02360439,3.48
62208,3.7,64527,10243,4857,402,504,8.4,16644,61.54169671,29.18168709,2.415284787,3.028118241,3.47
62214,1.6,60893,1159,0,10,2,3.9,1183,97.97125951,0,0.845308538,0.169061708,3.02
